GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041599,354,174,180,354,0,0,9.09,38.94389439,49.15254237,50.84745763,100,0
E00041600,266,118,148,266,0,0,7.04,37.78409091,44.36090226,55.63909774,100,0
E00041601,360,162,198,360,0,0,6.02,59.80066445,45,55,100,0
E00041602,335,172,163,335,0,1,9.2,36.41304348,51.34328358,48.65671642,100,0
E00041603,299,157,142,299,0,4,6.31,47.38510301,52.5083612,47.4916388,100,0
E00041604,270,129,141,270,0,1,3.38,79.8816568,47.77777778,52.22222222,100,0
E00041605,358,180,178,358,0,2,4.28,83.64485981,50.27932961,49.72067039,100,0
E00041606,291,145,146,291,0,3,4.36,66.74311927,49.82817869,50.17182131,100,0
E00041607,261,132,129,261,0,3,3.74,69.78609626,50.57471264,49.42528736,100,0
E00041608,302,138,164,302,0,2,4.22,71.56398104,45.69536424,54.30463576,100,0
E00041610,339,166,173,339,0,2,28.58,11.86144157,48.96755162,51.03244838,100,0
E00041611,211,97,114,211,0,5,5.58,37.81362007,45.97156398,54.02843602,100,0
E00041612,298,157,141,298,0,0,10.81,27.56706753,52.68456376,47.31543624,100,0
E00041614,223,116,107,223,0,0,3.25,68.61538462,52.01793722,47.98206278,100,0
E00041615,319,147,172,319,0,1,3.98,80.15075377,46.0815047,53.9184953,100,0
E00041616,188,89,99,188,0,3,2.69,69.88847584,47.34042553,52.65957447,100,0
E00041617,320,150,170,317,3,2,58.18,5.50017188,46.875,53.125,99.0625,0.9375
E00041618,268,131,137,268,0,0,4.41,60.77097506,48.88059701,51.11940299,100,0
E00041619,211,92,119,211,0,0,2.97,71.04377104,43.60189573,56.39810427,100,0
E00041620,346,165,181,346,0,2,4.79,72.23382046,47.68786127,52.31213873,100,0
E00041621,219,105,114,219,0,1,3.43,63.8483965,47.94520548,52.05479452,100,0
E00041622,297,145,152,297,0,0,3.87,76.74418605,48.82154882,51.17845118,100,0
E00041623,308,156,152,308,0,0,4.56,67.54385965,50.64935065,49.35064935,100,0
E00041624,372,176,196,372,0,4,36.18,10.28192371,47.31182796,52.68817204,100,0
E00041625,237,107,130,237,0,2,25.87,9.161190568,45.14767932,54.85232068,100,0
E00041626,297,151,146,297,0,1,3.95,75.18987342,50.84175084,49.15824916,100,0
E00041627,219,109,110,219,0,2,3.15,69.52380952,49.7716895,50.2283105,100,0
E00041629,289,143,146,289,0,1,1.65,175.1515152,49.48096886,50.51903114,100,0
E00041630,304,142,162,304,0,0,3.37,90.20771513,46.71052632,53.28947368,100,0
E00041631,295,143,152,295,0,1,4.36,67.66055046,48.47457627,51.52542373,100,0
E00041632,297,139,158,268,29,2,4.11,72.26277372,46.8013468,53.1986532,90.23569024,9.764309764
E00041633,323,142,181,323,0,2,4.94,65.38461538,43.9628483,56.0371517,100,0
E00041634,255,112,143,214,41,0,3.5,72.85714286,43.92156863,56.07843137,83.92156863,16.07843137
E00041635,291,141,150,291,0,1,5.91,49.23857868,48.45360825,51.54639175,100,0
E00041636,415,210,205,415,0,2,77.67,5.343118321,50.60240964,49.39759036,100,0
E00041637,106,51,55,106,0,0,10.27,10.32132425,48.11320755,51.88679245,100,0
E00041638,283,130,153,283,0,1,10.31,27.44907856,45.93639576,54.06360424,100,0
E00041639,273,137,136,273,0,0,1.68,162.5,50.18315018,49.81684982,100,0
E00041640,354,184,170,354,0,0,5.73,61.78010471,51.97740113,48.02259887,100,0
E00041641,223,101,122,223,0,0,5.44,40.99264706,45.29147982,54.70852018,100,0
E00041642,292,141,151,292,0,3,4.66,62.66094421,48.28767123,51.71232877,100,0
E00041643,293,144,149,293,0,3,4.25,68.94117647,49.14675768,50.85324232,100,0
E00041644,292,139,153,292,0,3,4.43,65.91422122,47.60273973,52.39726027,100,0
E00041645,420,190,230,420,0,6,7.17,58.57740586,45.23809524,54.76190476,100,0
E00041646,209,99,110,209,0,0,33.46,6.246264196,47.36842105,52.63157895,100,0
E00041647,303,140,163,261,42,1,13.61,22.26304188,46.20462046,53.79537954,86.13861386,13.86138614
E00041648,321,140,181,321,0,3,5.54,57.94223827,43.61370717,56.38629283,100,0
E00041649,427,200,227,427,0,0,9.38,45.52238806,46.83840749,53.16159251,100,0
E00041650,207,107,100,207,0,2,5.35,38.69158879,51.69082126,48.30917874,100,0
E00041651,242,122,120,242,0,2,2.5,96.8,50.41322314,49.58677686,100,0
E00041652,357,165,192,357,0,1,13.79,25.88832487,46.21848739,53.78151261,100,0
E00041653,219,128,91,219,0,0,3.66,59.83606557,58.44748858,41.55251142,100,0
E00041654,251,140,111,251,0,2,5.8,43.27586207,55.77689243,44.22310757,100,0
E00041655,173,97,76,173,0,0,2.48,69.75806452,56.06936416,43.93063584,100,0
E00041656,182,122,60,182,0,1,3.39,53.68731563,67.03296703,32.96703297,100,0
E00041657,229,113,116,217,12,0,11.95,19.16317992,49.34497817,50.65502183,94.75982533,5.240174672
E00041658,246,119,127,246,0,0,2.76,89.13043478,48.37398374,51.62601626,100,0
E00041659,260,124,136,260,0,0,8.19,31.74603175,47.69230769,52.30769231,100,0
E00041660,252,122,130,252,0,1,3.91,64.45012788,48.41269841,51.58730159,100,0
